  NODES_PER_ELEMENT
   1 9
   2 9
   3 9
   4 9
   5 9
   6 9
   7 9
   8 9
   9 9
   10 9
   11 9
   12 9
   13 9
   14 9
   15 9
   16 9
   17 9
   18 9
   19 9
   20 9
   21 9
   22 9
   23 9
   24 9
   25 9
   26 9
   27 9
   28 9
   29 9
   30 9
   31 9
   32 9
   33 9
   34 9
   35 9
   36 9
   37 9
   38 9
   39 9
   40 9
   41 9
   42 9
   43 9
   44 9
   45 9
   46 9
   47 9
   48 9
   49 9
   50 9
   51 9
   52 9
   53 9
   54 9
   55 9
   56 9
   57 9
   58 9
  END_NODES_PER_ELEMENT
  ELEMENTS
  1 257 249 233 245 253 241 238 251 247  
  2 249 232 218 233 240 223 224 241 231  
  3 232 215 202 218 221 208 210 223 216  
  4 215 199 187 202 207 194 195 208 201  
  5 199 178 167 187 188 171 177 194 183  
  6 259 257 245 243 258 251 244 254 252  
  7 255 259 243 239 256 254 242 248 250  
  8 236 255 239 220 246 248 229 228 237  
  9 213 236 220 196 225 228 209 205 217  
  10 192 213 196 169 203 205 182 179 193  
  11 178 152 145 167 163 147 156 171 160  
  12 152 125 120 145 139 123 133 147 136  
  13 125 99 94 120 112 97 108 123 110  
  14 99 74 65 94 87 72 79 97 84  
  15 74 46 37 65 62 42 51 72 55  
  16 46 24 19 37 33 20 28 42 29  
  17 24 9 7 19 15 6 13 20 12  
  18 9 1 8 7 4 3 5 6 2  
  19 8 22 18 7 14 17 11 5 10  
  20 22 45 36 18 32 40 26 17 27  
  21 45 75 70 36 61 73 52 40 56  
  22 75 101 98 70 88 100 85 73 86  
  23 101 135 124 98 121 127 111 100 113  
  24 135 162 148 124 150 154 137 127 140  
  25 162 192 169 148 175 179 159 154 166  
  26 19 7 18 25 13 11 21 23 16  
  27 18 36 44 25 26 39 35 21 30  
  28 37 19 25 43 28 23 34 41 31  
  29 65 37 43 64 51 41 54 63 50  
  30 94 65 64 91 79 63 77 90 76  
  31 120 94 91 116 108 90 104 115 103  
  32 36 70 69 44 52 67 57 39 53  
